id,Sentence,language,emotion
1801,رُک، بہٕ چھس صرف یہ یقینی بناونٕچ کوٗشش کران ز مےٚ چھ فراہم کرنہٕ آمتیٚن خدماتن خٲطرٕ معقول قۭمت میلان۔,Kashmiri,disgust
7895,بہٕ چھس مایوس گژھان ییٚلہ بہٕ بٹوار دۄہ شامس ایسٹ کوسٹ روڈس ترنٕچ کوٗشش چھس کران تہٕ کانٛہہ تِہ چھنہٕ مےٚ ترنہٕ دوان۔,Kashmiri,anger
3369,ꯑꯩꯒꯤ ꯑꯉꯥꯡ ꯌꯣꯛꯄꯗ ꯆꯥꯗꯤꯡꯁꯤ ꯀꯌꯥ ꯌꯥꯝꯅ ꯍꯦꯟꯒꯠꯂꯛꯂꯤꯕꯒꯦ ꯍꯥꯏꯕꯗꯨ ꯎꯕꯗ ꯇꯁꯦꯡꯅ ꯄꯨꯛꯅꯤꯡ ꯁꯣꯟꯊꯩ꯫,Manipuri,sad
5191,بہٕ چھس بیٚنٛکس  مٗقابلہٕ جٲتی سودٕکہِ شرح پیش نہٕ کرنس پیٹھ ناراض۔,Kashmiri,anger
7934,کوچ سٕنٛز سپورٹس مینشِپٕچ کٔمی چھےٚ واریاہ مایوس کن۔,Kashmiri,disgust
4704,ꯃꯐꯝ ꯑꯗꯨꯒꯤ ꯄꯥꯔꯛꯁꯤꯡ ꯑꯗꯨꯅ ꯁꯍꯔꯒꯤ ꯏꯔꯥꯡ ꯂꯥꯡꯕ ꯄꯨꯟꯁꯤꯗꯒꯤ ꯏꯪ ꯆꯤꯛꯄ ꯅꯥꯟꯊꯣꯛꯄꯒꯤ ꯈꯨꯗꯣꯡꯆꯥꯕ ꯄꯤꯔꯤ꯫,Manipuri,happy
5381,"ᱟᱨᱦᱚᱸ ᱱᱟᱯᱟᱭ ᱥᱮ ᱵᱟᱝ, ᱤᱧ ᱢᱤᱫᱴᱟᱝ ᱥᱮᱨᱢᱟᱠᱤᱭᱟᱹ ᱤᱱᱴᱟᱨᱱᱮᱴ ᱥᱟᱵᱥᱠᱨᱤᱯᱥᱚᱱ ᱞᱟᱹᱜᱤᱫ ᱥᱮᱱ ᱟᱠᱟᱱᱟ, ᱱᱚᱣᱟ ᱩᱭᱦᱟᱹᱨ ᱵᱤᱨᱩᱫᱷᱨᱮ ᱡᱮ, ᱱᱚᱶᱟ ᱫᱚ ᱤᱧᱟᱹᱜ ᱚᱯᱷᱤᱥ ᱠᱚᱞ ᱫᱚ ᱵᱟᱝ ᱦᱟᱹᱱᱼᱟ ᱾",Santali,fear
8221,مےٚ گو خوف ییٚلہ بہٕ اکہ خطرناک  علاقہٕ مٔنٛزۍ پٔکتھ أکس نوِس ریسٹورانس تام پکان  گوس۔,Kashmiri,fear
3877,ᱩᱱᱤᱭᱟᱜ ᱱᱚᱣᱟ ᱵᱮᱭᱟᱢ ᱠᱚᱨᱟᱣ ᱦᱚᱨᱟ ᱫᱚ ᱱᱩᱱᱟᱹᱜ ᱜᱮ ᱦᱟᱦᱟᱲᱟᱣᱟᱱ ᱟᱨ ᱵᱟᱹᱲᱤᱡ ᱡᱮ ᱚᱱᱟ ᱫᱚ ᱦᱤᱨᱠᱷᱟᱹ ᱜᱮ ᱧᱮᱞᱚᱜ ᱠᱟᱱᱟ ᱾,Santali,disgust
9728,ᱛᱷᱟᱹᱱᱤᱭᱚ ᱠᱟᱹᱨᱜᱚᱞ ᱠᱚᱣᱟᱜ ᱱᱤᱯᱷᱩᱴ ᱠᱟᱹᱢᱤ ᱟᱨ ᱦᱩᱱᱟᱹᱨ ᱥᱟᱹᱨᱤ ᱜᱮ ᱧᱮᱞᱡᱚᱝ ᱞᱮᱠᱟ ᱾,Santali,surprise
